tweet_id,customer_text,intent,is_escalated,generated_response,groundedness,relevance,actionability,safety,tone,overall,reason
2121055,11.0.3 giving me feeling like i'm using android phone..battery draining too fast as compared to ios 10.3.3. gets hot when put on charge. IOS 10.3.3 was best according to me. using iphone se,OUT_OF_DOMAIN,False,"We provide support for Apple products and services. For help with Android, please contact the manufacturer's official support team. Let us know if you need help with an Apple device!",2,1,1,2,3,1,"The agent completely misunderstood the customer's inquiry, misclassifying the iPhone SE battery and heating issue as an Android support request. It failed to address the safety concern of the device getting hot while charging and provided no actionable steps for the Apple device."
2646254,"hey, got two lost phone calls from (512) 674-2000 that is you right?",CALLS_COMMUNICATION,False,"We know staying connected is essential, and we're here to help. Thanks for taking the time to reach out. We know it's important to be able to identify legitimate phone calls and we're here to get you pointed in the right direction. Let us know how it goes!",2,2,1,3,4,2,"The response completely omits the helpful article link mentioned in the retrieved evidence, leaving the customer with no actionable way to verify the phone number."
2799476,"#Siri and I have always had issues. I was driving and I told her to call someone. No, she didn’t call the person on the phone. She kept calling out the person’s name over and over and over. She is such a smart aleck.",CALLS_COMMUNICATION,False,"We know staying connected is essential, and we're here to help. We know how important it is to get Siri to work correctly. Here's a helpful article you can check out for this issue: Let us know how it goes!",3,3,1,5,3,2,"The response is highly repetitive and fails to provide the actual link to the article it references, leaving the customer with no actionable next steps."
2730325,good morning. My visual voicemail disappeared this morning and I’m now being asked to call my voicemail.,CALLS_COMMUNICATION,False,"We can help with both your calls and messaging and apps and media. First, we know how important visual voicemail is, and we'll do all we can to help. to get started, let us know in dm what type of device you're using and it's os version.",5,5,4,5,4,4,"The response is grounded and relevant, but it omits the helpful Settings path from the retrieved evidence and has a slightly clunky, repetitive opening sentence."
2894757,"i just get a this message ""You will receive a text or a phone call at this number when your account is ready to recover on 11 December 2017 at 21:52:39 GMT+5.50. For updated status information or to provide additional information to help recover your account""but never got a call.",CALLS_COMMUNICATION,False,"We can help with both your calls and messaging and device performance. First, by the date indicated, it looks like you'd have to wait until december 11, 2017.",4,1,1,2,2,1,"The response is highly irrelevant and unhelpful because it tells the customer to wait for a date (December 11, 2017) that has already passed, and it fails to provide any actionable next steps or official links for account recovery."
2406560,"Hey Apple, so my IPhone X frequently doesn't connect with my carrier. It shows full cellular phone bars and internet connection but I cant call nor my cellular internet works. This happens frequently. The phone is like 1 week new. Please help!",CONNECTIVITY,False,"We can help with both your Wi-Fi/network connectivity and calls and messaging. First, it's important for your iphone to be reliable so you can make calls and use cellular data when needed. let us know which version of ios you’re running on the iphone in dm.",5,5,3,5,4,4,"The response is grounded in the retrieved evidence and directly addresses the user's connectivity issue. However, it lacks immediate, actionable troubleshooting steps like restarting the device or toggling Airplane Mode before moving to DMs."
1878001,#IOS11 is the worst update ever! Apps don’t work when on wifi & Bluetooth connections stop if I touch my phone. sort it out!,CONNECTIVITY,False,"We can help with both your Wi-Fi/network connectivity and apps and media. First, we'd be happy to check it out. what happens when you try to use an app? Let us know how that goes, and we can look into the apps and media next!",4,4,3,5,3,3,"The response acknowledges the issue and asks a clarifying question, but it misses the Bluetooth mention and contains repetitive, slightly awkward phrasing without offering concrete troubleshooting steps."
2213578,Wow update bricked my phone basically don’t get internet signal unless on wifi,CONNECTIVITY,False,"We can help with both your Wi-Fi/network connectivity and calls and messaging. First, this is not the expected behavior. we'd be happy to look into this with you in dm here: Let us know how that goes, and we can look into the calls and messaging next!",4,3,2,5,3,3,"The response hallucinates issues regarding calls and messaging that the customer did not mention, and fails to provide actionable cellular troubleshooting steps or a working DM link."
1638757,Same here. And now I don’t have internet connection unless connected to WiFi thanks a lot. #thisupdatesucks,CONNECTIVITY,False,"We can help with both your Wi-Fi/network connectivity and device performance. First, that’s not what we’d like to hear. let’s make sure to check all the steps on this page: Let us know how that goes, and we can look into the device performance next!",3,3,1,5,2,2,"The response fails to include the actual link or troubleshooting steps referenced, leaving the customer without actionable guidance. The phrasing and grammar are also awkward and poorly formatted."
2425815,"My computer charger doesn't work very well (the cord was chewed by my cat) only works if the cord is held at a specific angle, and if it disconnects my computer just shuts off. But I can turn it back on and it's capable of running on battery power for a few hours. whyyyyyy",BATTERY_POWER,False,"We can help with both your battery life and billing and purchases. First, we want to help you. are you using a known good charger? Let us know how that goes, and we can look into the billing and purchases next!",2,2,2,3,2,2,"The response hallucinates irrelevant topics like billing and purchases and fails to address the safety hazard of using a physically damaged, chewed charging cable."
2584329,Dear it is not ok that your iOS updates turn my iPhone6s into a brick. YOU STILL SELL 6s’s!!!! Enough with the software updated forcing hardware purchases to the tune of a grand b/c devices can’t handle it and slow to a crawl or freeze.,DEVICE_PERFORMANCE,False,"We can help with both your device performance and billing and purchases. First, we want to help with the issues you're experiencing. Let us know how that goes, and we can look into the billing and purchases next!",3,3,2,5,3,3,"The response introduces an irrelevant 'billing and purchases' topic not mentioned in the customer's performance complaint. Additionally, it fails to provide a clear call to action, such as inviting the customer to DM, which was present in the retrieved evidence."
769556,"iPhone call app all blurry & unusable after iOS 11 update. Can’t make calls/access voicemail. Any tips to fix? Oh, and “Grrrr” to 😡",CALLS_COMMUNICATION,False,"We can help with both your calls and messaging and device performance. First, we can help. could you let us know which version of ios 11 you are using? Let us know how that goes, and we can look into the device performance next!",5,4,3,5,3,3,The response is grounded in the retrieved evidence but suffers from repetitive phrasing and poor grammar/capitalization. It also lacks concrete instructions on how the user can find their iOS version.
391721,👏🏼👍🏼 Thank you so much. I gotta say it’s a weird place to put it when there’s an existing ‘display and brightness’ section!,DISPLAY_AUDIO_CAMERA,False,Let's look into what's happening with your screen/audio. You're very welcome. Feel free to reach out to us if you need anything in the future. Let us know how it goes!,4,3,2,5,3,3,The agent's response is confusing because it attempts to initiate troubleshooting ('Let's look into what's happening') even though the customer was thanking them for resolving the issue. This makes the response repetitive and irrelevant to the customer's closing statement.
1001129,"my iPhone 7 Plus doesn’t work properly with 11.0.3 😡😡. The speaker doesn’t work on calls, is non responsive & screen locks!!",DISPLAY_AUDIO_CAMERA,False,"We can help with both your display and audio and calls and messaging. First, we'd love to help. could you direct message us and let us know what country you're located in? Let us know how that goes, and we can look into the calls and messaging next!",5,4,3,5,2,3,"The response is grounded in the retrieved evidence but is highly repetitive and awkwardly phrased, telling the user 'Let us know how that goes' after simply asking for their country in a DM."
501463,"Thank you, but the brightness level still changes on its own. Even now as I’m typing this, the screen got darker. In the past there was a switch to turn this off, but I can’t find it now.",DISPLAY_AUDIO_CAMERA,False,"We can help with both your display and audio and keyboard typing. First, clean the sensors/speakers, restart your device, and check settings > display & brightness or sounds. Let us know how that goes, and we can look into the keyboard typing next!",2,2,2,5,4,2,"The agent response incorrectly identifies the customer's context of 'typing' as a keyboard issue and brings up unrelated audio troubleshooting. Additionally, it provides the wrong settings path for disabling auto-brightness, which is located under Accessibility rather than Display & Brightness."
46836,I Found an iPad on the train how can I return it to its rightful owner?,HOW_TO_OTHER,False,"We'd be happy to help answer your question. We're sorry to hear about your MacBook and iPad. If you need a receipt, you can contact the store where you bought them as support is unable to produce those for you. Let us know how it goes!",1,1,1,3,2,1,"The agent response is completely irrelevant to the customer's inquiry about returning a found iPad, blindly copying unrelated historical evidence about MacBook receipts instead."
2500897,"So, and the is warning me that I can’t get a refund when I press buy and something about 14 days... Does this mean I can get a refund Before buying the app? Idiotic system. Lack of refund is a major problem in the App Store.",PURCHASE_PAYMENT,False,"We can help with both your billing and purchases and apps and media. First, we suggest you use the link to request a refund for any issues you have with a recent purchase: Let us know how that goes, and we can look into the apps and media next!",5,3,2,5,4,3,"The response fails to explain the 14-day waiver warning the customer asked about, and it instructs them to use a link that was never actually provided in the text."
