tweet_id,customer_query,generated_response,Groundedness,Relevance,Actionability,Safety,Tone,Policy Constraints,Overall Quality
2894757,"i just get a this message ""You will receive a text or a phone call at this number when your account is ready to recover on 11 December 2017 at 21:52:39 GMT+5.50. For updated status information or to provide additional information to help recover your account""but never got a call.","We can help with both your calls and messaging and device performance. First, by the date indicated, it looks like you'd have to wait until december 11, 2017.",3.0,2.0,1.0,4.0,2.0,Pass,1.0
2406560,"Hey Apple, so my IPhone X frequently doesn't connect with my carrier. It shows full cellular phone bars and internet connection but I cant call nor my cellular internet works. This happens frequently. The phone is like 1 week new. Please help!","We can help with both your Wi-Fi/network connectivity and calls and messaging. First, it's important for your iphone to be reliable so you can make calls and use cellular data when needed. let us know which version of ios you’re running on the iphone in dm.",4.0,5.0,3.0,5.0,4.0,Pass,4.0
1878001,#IOS11 is the worst update ever! Apps don’t work when on wifi & Bluetooth connections stop if I touch my phone. sort it out!,"We can help with both your Wi-Fi/network connectivity and apps and media. First, we'd be happy to check it out. what happens when you try to use an app? Let us know how that goes, and we can look into the apps and media next!",3.0,3.0,3.0,5.0,3.0,Pass,3.0
2213578,Wow update bricked my phone basically don’t get internet signal unless on wifi,"We can help with both your Wi-Fi/network connectivity and calls and messaging. First, this is not the expected behavior. we'd be happy to look into this with you in dm here: Let us know how that goes, and we can look into the calls and messaging next!",4.0,4.0,3.0,5.0,3.0,Pass,3.0
1638757,Same here. And now I don’t have internet connection unless connected to WiFi thanks a lot. #thisupdatesucks,"We can help with both your Wi-Fi/network connectivity and device performance. First, that’s not what we’d like to hear. let’s make sure to check all the steps on this page: Let us know how that goes, and we can look into the device performance next!",2.0,3.0,1.0,5.0,3.0,Pass,2.0
2425815,"My computer charger doesn't work very well (the cord was chewed by my cat) only works if the cord is held at a specific angle, and if it disconnects my computer just shuts off. But I can turn it back on and it's capable of running on battery power for a few hours. whyyyyyy","We can help with both your battery life and billing and purchases. First, we want to help you. are you using a known good charger? Let us know how that goes, and we can look into the billing and purchases next!",3.0,3.0,3.0,4.0,2.0,Pass,2.0
2584329,Dear it is not ok that your iOS updates turn my iPhone6s into a brick. YOU STILL SELL 6s’s!!!! Enough with the software updated forcing hardware purchases to the tune of a grand b/c devices can’t handle it and slow to a crawl or freeze.,"We can help with both your device performance and billing and purchases. First, we want to help with the issues you're experiencing. Let us know how that goes, and we can look into the billing and purchases next!",3.0,2.0,1.0,5.0,2.0,Pass,2.0
769556,"iPhone call app all blurry & unusable after iOS 11 update. Can’t make calls/access voicemail. Any tips to fix? Oh, and “Grrrr” to 😡","We can help with both your calls and messaging and device performance. First, we can help. could you let us know which version of ios 11 you are using? Let us know how that goes, and we can look into the device performance next!",4.0,4.0,3.0,5.0,3.0,Pass,3.0
391721,👏🏼👍🏼 Thank you so much. I gotta say it’s a weird place to put it when there’s an existing ‘display and brightness’ section!,Let's look into what's happening with your screen/audio. You're very welcome. Feel free to reach out to us if you need anything in the future. Let us know how it goes!,4.0,4.0,3.0,5.0,4.0,Pass,4.0
1001129,"my iPhone 7 Plus doesn’t work properly with 11.0.3 😡😡. The speaker doesn’t work on calls, is non responsive & screen locks!!","We can help with both your display and audio and calls and messaging. First, we'd love to help. could you direct message us and let us know what country you're located in? Let us know how that goes, and we can look into the calls and messaging next!",4.0,4.0,3.0,5.0,3.0,Pass,3.0
501463,"Thank you, but the brightness level still changes on its own. Even now as I’m typing this, the screen got darker. In the past there was a switch to turn this off, but I can’t find it now.","We can help with both your display and audio and keyboard typing. First, clean the sensors/speakers, restart your device, and check settings > display & brightness or sounds. Let us know how that goes, and we can look into the keyboard typing next!",4.0,4.0,4.0,5.0,3.0,Pass,4.0
46836,I Found an iPad on the train how can I return it to its rightful owner?,"We'd be happy to help answer your question. We're sorry to hear about your MacBook and iPad. If you need a receipt, you can contact the store where you bought them as support is unable to produce those for you. Let us know how it goes!",1.0,1.0,1.0,4.0,2.0,Pass,1.0
2500897,"So, and the is warning me that I can’t get a refund when I press buy and something about 14 days... Does this mean I can get a refund Before buying the app? Idiotic system. Lack of refund is a major problem in the App Store.","We can help with both your billing and purchases and apps and media. First, we suggest you use the link to request a refund for any issues you have with a recent purchase: Let us know how that goes, and we can look into the apps and media next!",3.0,3.0,2.0,5.0,3.0,Pass,3.0
