customer_text,support_response,suggested_intent,intent,escalation,escalation_reason
"I trusted you and updated my phone to 11 v. After that my phone is start heating up and the battery draining, then I used to change the power IC which fixed the issue but after my phone GPS and the touch ID stopped working. Do I used to own your faults??",2276283,BATTERY_POWER,,,
It’s super awesome that the iOS update frl@ to fix the I glitch drains my battery. Phone has been off the charger for 2 hours and I’m down to 67%. In other news being able to write long drawn out rambling tweets is neat.,2932167,BATTERY_POWER,,,
"Dear , can you shed any light on this please? Since updating iOS I can’t switch my phone on without a charger: even when it had nearly half of battery life, it says it’s drained. SE, 18 months old, no other changes, app refresh off.",484494,BATTERY_POWER,,,
Hey can we make an update to where my phone doesn't drain battery for no apparent reason. Its been on the charger too.,2207592,BATTERY_POWER,,,
"Hey Apple, so my IPhone X frequently doesn't connect with my carrier. It shows full cellular phone bars and internet connection but I cant call nor my cellular internet works. This happens frequently. The phone is like 1 week new. Please help!",2406560,CONNECTIVITY,,,
#IOS11 is the worst update ever! Apps don’t work when on wifi & Bluetooth connections stop if I touch my phone. sort it out!,1878001,CONNECTIVITY,,,
Wow update bricked my phone basically don’t get internet signal unless on wifi,2213578,CONNECTIVITY,,,
my data wheel will not stop spinning. All apps closed. Good connection to WiFi and cellular. Please help,1645797,CONNECTIVITY,,,
Same here. And now I don’t have internet connection unless connected to WiFi thanks a lot. #thisupdatesucks,1638757,CONNECTIVITY,,,
My phone doesn't like to load any app data or anything when on WiFi. Only on cellular. Restored and tried multiple networks,1296680,CONNECTIVITY,,,
Yo WTF is with this auto WiFi and Bluetooth connection... it’s mad annoying!!!,208951,CONNECTIVITY,,,
cellular signal has been super unreliable on #AppleWatchSeries3 Smh What am I paying for? Can't use if I have no signal. #redxonapplewatchallday #nowifinouse,2352122,CONNECTIVITY,,,
"iPhone 8 AirDrop problem! Tried every single method on the internet no joy! Turn old iPho 6 on instant connection! all setting exactly the same. Reset network connections, Logged out/in iCloud, reset all BT and wifi settings on iMac late 2013, and iPho on ios11.1.2",2621266,CONNECTIVITY,,,
it says i have no internet connection but it shows wifi is connected and still does nothing on cellular data... using an iphone se,1083350,CONNECTIVITY,,,
can't download apps on iOS 11.0.3 iPhone 7 on wifi or cellular (full bars LTE).,870229,CONNECTIVITY,,,
"4G. In fact, my internet connection was used to create this tweet at the time so I have to assume the network was not the cause.",58849,CONNECTIVITY,,,
"My Apple Watch is still not connecting to Wi-Fi. Did everything: forgetting & reconnecting iPhone Wi-Fi, shutting-off devices & Bluetooth, repairing... Wi-Fi network is 2,4Ghz and 11b/g/n. Called French . They were so lost I decided to get another coffee ☕️. Help?",120682,CONNECTIVITY,,,
"I don’t know what to do. I upgraded my iOS last night and lost WiFi connections. I can see them. Strong signal. Rebooted, reset everything. Nothing helps.",699564,CONNECTIVITY,,,
"Wish #Apple would remember what I had on, before I turned on the #AirplaneMode. Now, once I goto AirplaneMode & later switch it off, then by default, #iPhone switches on WiFi,Bluetooth & CellularData. #iOS11 #userexperience #uxdesign",2449498,CONNECTIVITY,,,
"Dear , why is my IOS 11 update slowing my phone down & keep turning on my WiFi & Bluetooth & changing my cellular LTE off?",1366346,CONNECTIVITY,,,
Its definitely my home wifi. I cant rule out cellular or other wifi networks being an issue but its definitely regularly happening with loading my twitter feed.,2293536,CONNECTIVITY,,,
i have both tried with a wifi connection or using cellular data and tried typing the password myself but nothing seems to work,2309872,CONNECTIVITY,,,
"7 plus, cellular connection. 4 bars & LTE, still won’t load",1141095,CONNECTIVITY,,,
Thank you. It happens on both WiFi and cellular. No other network I can try.,152910,CONNECTIVITY,,,
"hey, got two lost phone calls from (512) 674-2000 that is you right?",2646254,CALLS_COMMUNICATION,,,
"#Siri and I have always had issues. I was driving and I told her to call someone. No, she didn’t call the person on the phone. She kept calling out the person’s name over and over and over. She is such a smart aleck.",2799476,CALLS_COMMUNICATION,,,
good morning. My visual voicemail disappeared this morning and I’m now being asked to call my voicemail.,2730325,CALLS_COMMUNICATION,,,
"My bluetooth was off, i checked (pull down top right) and I had been getting notifications and phone calls on my apple watch. WTH .",2894808,CALLS_COMMUNICATION,,,
"i just get a this message ""You will receive a text or a phone call at this number when your account is ready to recover on 11 December 2017 at 21:52:39 GMT+5.50. For updated status information or to provide additional information to help recover your account""but never got a call.",2894757,CALLS_COMMUNICATION,,,
"and above that the phone call ended and u couldn't even call me back and when i phoned again i had to explain it all over... and then the conexion was lost, AGAIN... so not happy with apple",2869706,CALLS_COMMUNICATION,,,
So my FaceTime is working but phone calls or voice notes are not. Why is this ???? Do you realise how inconvenient this is for a girl,1571715,CALLS_COMMUNICATION,,,
Why my iMessage & FaceTime keep saying is waiting fo activation 😩 help me out,62256,CALLS_COMMUNICATION,,,
My LTE works fine but when I connect to WIFI and then leave that location is no longer works. I can make calls and SMS but apps and iMessage no longer work. I have tried all the work-arounds. It is either an iOS issue or a hardware issue,2520777,CALLS_COMMUNICATION,,,
"I’m on iPhone 6 Plus (newest software). Reset most things and it won’t connect. Can only SMS and call, no iMessage or FaceTime.",1450121,CALLS_COMMUNICATION,,,
I can’t make phone calls anymore thanks to ios11 so I have to facetime everyone,1882758,CALLS_COMMUNICATION,,,
"iPhone call app all blurry & unusable after iOS 11 update. Can’t make calls/access voicemail. Any tips to fix? Oh, and “Grrrr” to 😡",769556,CALLS_COMMUNICATION,,,
"Hey I just discovered a bug on the iPhone X (iOS 11.1.2) when you are in a FaceTime Audio call, you are not able to shutdown any applications. Its kinda annoying, i hope it gets fixed soon.",2747288,CALLS_COMMUNICATION,,,
", looks like there is a scammer calling your customers with spoofed Apple numbers and directing customers to call a number in San Diego. I've received three calls in less than 24hrs. Others reporting similar scam experiences. Voicemail transcript attached.",2920032,CALLS_COMMUNICATION,,,
back in touch ever since. Am now heading back go university where I am unable to use anyone else’s phone to make a phone call to apple support nor can I receive any calls on my phone to resolve issue. Before I was disconnected I was told it was a software issue. 2/2,2695112,CALLS_COMMUNICATION,,,
"Getting glitchy audio when calling with FaceTime Audio with 11.1 with AirPods. I can hear for 2 seconds, then blank, then 2 seconds again. Apparently, they can hear me, but I can’t hear them...",2575316,CALLS_COMMUNICATION,,,
Oh #iphone update? Let’s call it “time to mess your phone up until you buy a new one even though your phone is only 7 months old”. #letscallthiswhatitreallyis WHERE ARE MY VOICEMAILS?,2771891,CALLS_COMMUNICATION,,,
I’m trying to login into facetime and imessages from my iPad. I have the same error message for 3 days.,2771913,CALLS_COMMUNICATION,,,
Okay now all of a sudden my phone won’t even let me call anyone?? anyone that i try calling it just goes straight to voicemail and doesn’t even ring. WHAT IS GOING ON WITH U PEOPLE??,2518196,CALLS_COMMUNICATION,,,
"newest update 11.0.2 won’t let me send iMessages, can’t download any emails, can’t access gifs, can’t do phone calls 😞",691221,CALLS_COMMUNICATION,,,
Yes. Clean install to 11.1.2. I’ve turned off background refresh and all things that could be slowing it down and draining the battery. When typing the keyboard lags and freezes. Apps constantly crash. And my battery lasts maybe 5 hours max on full charge with moderate use.,2837222,DEVICE_PERFORMANCE,,,
This new IOS update is awful my phone constantly crashes and freezes I can barely use it.When is this going to be fixed?!!?,1060566,DEVICE_PERFORMANCE,,,
Dear it is not ok that your iOS updates turn my iPhone6s into a brick. YOU STILL SELL 6s’s!!!! Enough with the software updated forcing hardware purchases to the tune of a grand b/c devices can’t handle it and slow to a crawl or freeze.,2584329,DEVICE_PERFORMANCE,,,
since the new update 11.1.2. Apps freeze/crash when I go onto them. I need to get out of all apps for one app to work normal. Phone has also turned off twice & I’ve not been able to turn it back on for 15 mins. Phone in general is lagging.Will next update fix this?,2291653,DEVICE_PERFORMANCE,,,
"Yes it does. I’ve deleted apps, reinstalled them, closed them, restarted my phone, but nothing seems to work. It still slows down, freezes, and crashes",584795,DEVICE_PERFORMANCE,,,
"Dear My iphone6S does not like IOS11 11.01 or 11.02. It's glitchy, apps don't open, my lock screen freezes and goes black and everything is basically on a 5 second delay. Siri is slower than dirt. It is annoying. Any suggestions? #iOS11 #ios11update",366546,DEVICE_PERFORMANCE,,,
"iOS 10.0.3 full of bugs. Since applying this update my iPhone 6 plus runs v slow, freezes & a number of apps no longer work",1202878,DEVICE_PERFORMANCE,,,
after update of ios 11.0.2 my iphone 6s screen freeze and phone has become slow with battery drain . Please help,1006083,DEVICE_PERFORMANCE,,,
"#ThursdayThoughts since last ios update, my phone has gone slow, freezes as crashes. Battery evaporates in hours 👎🏻👎🏻👎🏻",793408,DEVICE_PERFORMANCE,,,
"after installing iOS 11 on to my iPhone 6, a lot of apps are crashing and it sometimes freezes my entire phone, I have to force a restart everytime this happens. Furthermore, the apps seem to lag whilst launching e.g. Youtube, is there a new update coming out? 1/2",2555415,DEVICE_PERFORMANCE,,,
updates to iOS 11 and phone freezes/crashes 10+ per day? 😔,2062281,DEVICE_PERFORMANCE,,,
"Seems I woke up to a new update. Restarted and palpable slowdown in my Safari and Chrome. Start a video and the fan goes like crazy, Safari freezes., Chrome just keeps loading",483177,DEVICE_PERFORMANCE,,,
Swear my iPhone hasn’t been working correctly ever since I updated to ios11.1 apps crash on their own and phone freezes up,1873022,DEVICE_PERFORMANCE,,,
"Since the update it freezes, crashes, stops podcasts and just dies so I have to restart it. The battery is also a joke on this update. I've tried re-downloading apps etc.",1936758,DEVICE_PERFORMANCE,,,
"After iOS 11.1.2 update, my phone slowed down and started to freeze. this happened to a few friends. why can we do it.",2833021,DEVICE_PERFORMANCE,,,
iOS 11 usually Facebook will freeze and Instagram runs really slow and crashes damn near everything on the phone is laggy,354521,DEVICE_PERFORMANCE,,,
Hey the new iPhone ios11 update (11.0.3) sucks - my apps freeze and crash. Worst ever update please fix and fast,1956876,DEVICE_PERFORMANCE,,,
"Hey you’re new iOS 11 is HORRIBLE. Even the new update is awful. My iMessages has lots of delays, freezes and is slow. #fail",188624,DEVICE_PERFORMANCE,,,
The iOS 11 update slows down my productivity at work bc my apps (native & 3rd party) consistently freeze/crash - fix it !,808910,DEVICE_PERFORMANCE,,,
"When are going to release the next iOS 11 update? My 6S has been ruined, constantly freezes, crashes and has issues with calls!!!",2482120,DEVICE_PERFORMANCE,,,
"It's OK, I fixed it! SwiftKey hasn't updated with the new emojis and that's my primary keyboard. All good! 🙂",1512188,KEYBOARD_INPUT,,,
text is hidden by keyboard when I type in safari on iOS 11.1,1606758,KEYBOARD_INPUT,,,
WHAT THE FUCK IS WRONG WITH MY KEYBOARD I️ CANT TYPE THE LETTER I️ LIKE WTF,1703075,KEYBOARD_INPUT,,,
Emoji suggestions in iPhone X US English keyboard do not show despite add/remove of Emoji keyboard and reenabling of “Predictive”.,1583118,KEYBOARD_INPUT,,,
WTH is going on with your crazy keyboard? Every time I type an “i” using my iPhone this 👇🏽happens. Please fix this!!!,1583123,KEYBOARD_INPUT,,,
iOS 11 on iPhone 6: Can't dismiss notifications Can't pull down notification center Glitches when rotating screen Apps freeze Can't close apps Can't shut down Lags Unresponsive keyboard Word prediction before I finish typing,493595,KEYBOARD_INPUT,,,
autocorrect likes to correct words to random things. Like more always goes to Moré I have never once needed to type Moré. How do I fix this? I checked in text replacement and I’ve been through the keyboard settings but I haven’t found a way to solution. Any ideas?,1492633,KEYBOARD_INPUT,,,
Yo your keyboard can autocorrect “nsync” to *NSYNC but you can’t push out a fix for the I issue??,1751444,KEYBOARD_INPUT,,,
really made an emoji for the letter “I” instead of fixing the issue lol. Nobody is switching back and forth between keyboards anytime they wanna type the letter “I” 😂🙃,2193484,KEYBOARD_INPUT,,,
Is anyone else ‘I’ turning into a question mark when they type? I️ have a i on my emoji keyboard too?,31425,KEYBOARD_INPUT,,,
"iOS 11 is pants, constantly crashing for a few minutes whilst typing on my keyboard, notably when using emojis...",1828435,KEYBOARD_INPUT,,,
I have the iPhone SE and I keep having trouble where when I am typing the keyboard has trouble keeping up with what I am typing and lags extremely bad and doesn’t gather everything I am typing. I have already tried restarting it and that doesn’t seem to work.,2967892,KEYBOARD_INPUT,,,
"I have iOS 11.0.3 and my keyboard keeps autocorrecting the letter i to a weird symbol similar to ""A ?"" and it won't change.",52257,KEYBOARD_INPUT,,,
Are you aware that the iOS keyboard randomly adds a ‘capital’ letter to words mid sentence... Here’s an example with the word Car ! Why does is auto correct to a capitol C ??,2962816,KEYBOARD_INPUT,,,
"how do I get my keyboard to STOP auto correcting the letter ""I️"" to a symbol. See attached photo.",56984,KEYBOARD_INPUT,,,
"Sure. So when I type or click on something (like the keyboard, emoji keyboard, text box, etc) the response time is much slower. It stops for a bit then responds. It was not like this before iOS 11.1.1. I’ve not done anything to try to fix it.",2360404,KEYBOARD_INPUT,,,
can y’all fix our keyboards b/c everytime someone types the letter i all I see is a letter A and a box with a question mark!,1716617,KEYBOARD_INPUT,,,
y’all have to fix this problem with the keyboard. I’m tired of typing this 👉🏾 I️,1735882,KEYBOARD_INPUT,,,
"yo every time i type “it” auto corrects to I.T. My friends are also having this problem, resetting keyboard does nothin",1240111,KEYBOARD_INPUT,,,
why does my phone turn I️ into a special character and make it pop up in my emoji keyboard???? Fix it 🤨,1584586,KEYBOARD_INPUT,,,
"No messages only black screen then home page , this is happening since yesterday morning with Facebook and instagram while loading new feeds",323865,APPS_MEDIA,,,
someone tell me why i can’t airdrop videos from my phone to my laptop or why the photos app won’t pop up when i plug my phone into my laptop?! i need to transfer vlog footage 🤬🤬🤬 pls help me,118068,APPS_MEDIA,,,
why are entire albums in my Apple Music lists suddenly either greying out or disappearing from iTunes altogether? Copyright?,1332418,APPS_MEDIA,,,
Hello Facebook application is consuming a lot of battery is glad you find a solution for it,1147023,APPS_MEDIA,,,
"Yes I’ve restarted my phone numerous times today & I’m still having issues after the update. Apps freezing (Instagram, Kik, vsco & Facebook)",196145,APPS_MEDIA,,,
why can’t I click on and listen to songs from my iTunes library all of a sudden? Keep being promoted to join Apple Music,1646233,APPS_MEDIA,,,
"It freezes randomly when opening most of my apps and lasts for several seconds, this has never happened before. I have ‘Reset all Settings’ and it works a bit better, but I still have problems. Happens with apps such as Facebook, Instagram, Google Chrome, etc. Very frustrating",457194,APPS_MEDIA,,,
"Help, j’ai restauré puis j’ai reconfiguré mon iPhone a partir d’iCloud, j’ai réussi à récupérer toute ma sauvegarde donc mes contacts, applications... mais pas mes photos 😭 #iPhone",619524,APPS_MEDIA,,,
every time I stop a minute to see a video on youtube/facebook/everywhere this happens,1628937,APPS_MEDIA,,,
"hi, I updated to 11.1 2 and now videos won’t play in any of my apps. YouTube, Twitter, facebook, instagram. Nada. 😐",701629,APPS_MEDIA,,,
I submitted a video podcast show to iTunes and approved. Can’t submit the audio version though “Can’t submit your feed. Your feed was previously submitted” - that’s the video version not audio. How do I go about this?,94841,APPS_MEDIA,,,
why can't I add music from my computer (w/ itunes) to my iphone with Apple Music on ?,145242,APPS_MEDIA,,,
why can’t my family see my iTunes music purchase on family sharing? I don’t want/have Apple Music just normal iTunes.,359833,APPS_MEDIA,,,
why does all my music from download cards from the records I️ buy disappear from my iTunes after a couple months!? swan city vultures southeastern ultra mega ok...gone. That’s some #shadymoneygrubbingbullshit .,123071,APPS_MEDIA,,,
I bought apple music and now I can't add/delete my itunes music folders onto my iphone. What's the deal?,1625407,APPS_MEDIA,,,
"There's this bug I've been constantly having and like.. the sound stops working for every app I have except for the following which I know of that the sound works on: YouTube, Facebook, Instagram. Can you take a look at that? Thanks",514819,APPS_MEDIA,,,
This is what I currently have.The free storage amount keeps changing?I have added no other apps or photos or videos.,90691,APPS_MEDIA,,,
when I go to purchase Apple Music I put in my password and says I cannot connect to iTunes Store,250083,APPS_MEDIA,,,
your itunes application is a piece of trash. Wiped my music when plugged in to charge ipod. From iPod and itunes library,1833833,APPS_MEDIA,,,
Any idea why my iOS Music app stops loading my music library (via Home Sharing) at around 75%? And why my iTunes can’t be pointed to my Airplay stereo via the Remote app?,506481,APPS_MEDIA,,,
👏🏼👍🏼 Thank you so much. I gotta say it’s a weird place to put it when there’s an existing ‘display and brightness’ section!,391721,DISPLAY_AUDIO_CAMERA,,,
"my iPhone 7 Plus doesn’t work properly with 11.0.3 😡😡. The speaker doesn’t work on calls, is non responsive & screen locks!!",1001129,DISPLAY_AUDIO_CAMERA,,,
"Thank you, but the brightness level still changes on its own. Even now as I’m typing this, the screen got darker. In the past there was a switch to turn this off, but I can’t find it now.",501463,DISPLAY_AUDIO_CAMERA,,,
front and back camera are displaying a black screen and the flash/ flashlight won’t work at all.,2838618,DISPLAY_AUDIO_CAMERA,,,
I don’t know if it’s a known issue but on my iPhone 8 Plus if I turn the media volume all the way down you can still hear the audio faintly through the upper speaker on any app,2834354,DISPLAY_AUDIO_CAMERA,,,
nothing doing at all ... just finish updating and suddenly screen has gone !!! even i did not get tym to take my backup!!!! ... and there is no sound!!! and one more problme we are facing which is camera problem!!!!,2680189,DISPLAY_AUDIO_CAMERA,,,
somehow with you three updates in the past month you have now managed to kill the great quality the iPhone 8 Plus had in their speakers. Now it sounds trashy and not even half the volume that’s not counting all the crashes and freezes,619387,DISPLAY_AUDIO_CAMERA,,,
Yes. Also noticed the screen display in safari is now glitchy. Things don’t fit in the screen right. And everything is now slower.,850678,DISPLAY_AUDIO_CAMERA,,,
"updated #11.03 still #speaker #volumeindication not able to hear while calling, home screen music error and many more #Apple help",1442850,DISPLAY_AUDIO_CAMERA,,,
-can’t change songs from lock screen anymore -can’t use airpod volume or pause controls unless spotify is open -youTube videos freeze but sound plays -apps crash -speakerphone doesn’t work on calls iOS 11 is fucking trash!! Fix this shit,2520768,DISPLAY_AUDIO_CAMERA,,,
Volume works. Just not displayed. This isn't in any app. It's in the system. I can be on the home screen or lock screen or anything.,1078271,DISPLAY_AUDIO_CAMERA,,,
please fix the audio issue when playing music via iPhones speakers so that it doesn’t make a cracking sound every time I switch apps or scroll up/down pages? Thank you,2341834,DISPLAY_AUDIO_CAMERA,,,
Version 11.1.2 No error message. It just froze after I opened camera app and wouldn’t respond when I touched the screen at all.,501489,DISPLAY_AUDIO_CAMERA,,,
"Hi, after last iOS 11 update,I have issue with volume. When Im on Home screen,I raise or low multimedia volume. When I go into settings - sound, I can raise/low ring volume.",2478997,DISPLAY_AUDIO_CAMERA,,,
"The same issues, the audio on the screen recording doesn’t work, it freezes constantly & none of my photos & videos are back on my phone. +",41544,DISPLAY_AUDIO_CAMERA,,,
Ever since that update my phone sound (calls and speakerphone) doesn't allow me to hear at all & my camera won't pull up 😠😠😠,803110,DISPLAY_AUDIO_CAMERA,,,
Also my volume button changes the volume by the on screen volume bar doesn’t move. Apps crash a lot.,300109,DISPLAY_AUDIO_CAMERA,,,
"I had restarted my phone, 3rd time in 5 days as it also fails to display Spotify controls in the control centre or lock screen despite....",390095,DISPLAY_AUDIO_CAMERA,,,
And some apps I try to screen record the audio doesn’t be in the video once it saves to camera roll either,325917,DISPLAY_AUDIO_CAMERA,,,
my iPhone X front speaker sounds like it’s screaming out its lungs when I’m playing music at full volume (crackling vibration) since the first day. On iOS 11.1.1. Any advise?,2341887,DISPLAY_AUDIO_CAMERA,,,
Why does my iPad keep asking me to sign into iCloud every 30 seconds but when I put in my NEWLY changed password it tells me it is incorrect!!! WTF...I can't even use it right now!,2975694,ACCOUNT_ICLOUD,,,
"Yes I can login to appleid without any issue, icloud still go no.",2369448,ACCOUNT_ICLOUD,,,
"I changed my AppleID login & pass, but can't sign into the app store on my iPhone 7. My iPad didn't have this problem.",249189,ACCOUNT_ICLOUD,,,
My icloud account has been locked for security reasons. Even my Apple ID is locked. I can't receive my confirmation code.,2058730,ACCOUNT_ICLOUD,,,
Is iCloud on iOS on the fritz again?! I can't log in to any of my devices. Desktop login is ok but iOS logins are locking my account up. This sucks Apple!,2041261,ACCOUNT_ICLOUD,,,
I have an ICloud account but when I try to login online it asks me to set up an account. Am I doing something wrong?,1901334,ACCOUNT_ICLOUD,,,
As well as logging me out of all my internet accounts and iCloud. It also removed all my saved passwords and safari extensions.,313005,ACCOUNT_ICLOUD,,,
I can't access my apple ID. After my marriage ended my phone number changed & now apple cannot help me access my icloud account. Was on the phone 3 times with support & was hung up on all three times...needless to say galaxy here I come. #donewithapple,2909284,ACCOUNT_ICLOUD,,,
"I am able to sign in to a non admin account, but when I try to make changes I am prompted for my Apple ID and password, which are rejected. They are both known to be correct and working on other Apple devices",2801470,ACCOUNT_ICLOUD,,,
"No. I'll try to login to my Apple ID, says ""signing into iCloud"", & then takes me straight back to the login page again. Therefore, I'm unable to sign into the app store, Apple music, etc. I've tried restarting my phone multiple times too with no luck.",1766805,ACCOUNT_ICLOUD,,,
I really wish would allow me to set my iCloud email as my AppleID Really a pain that its the only account not using that email,1631265,ACCOUNT_ICLOUD,,,
I forgot my 4degits passcode on my iPhone so was told i can unlock so when unlocking it will it require icloud account to work again? Because i know the icloud account but cant remember the password though😢😢,557798,ACCOUNT_ICLOUD,,,
"I'm able to sign in on the computer to the HBO now website, but what's worried about is when the next billing cycle comes, I no longer have the old Apple ID and I don't see the HBO purchase on the new Apple ID account",2816380,ACCOUNT_ICLOUD,,,
I don’t understand why my password is different on my computer than the iCloud/Apple ID password that I just changed yesterday. :-/,804099,ACCOUNT_ICLOUD,,,
"Every new screen even before I unlock my phone I get the white screen that says sign in required w email address, place to type password and cancel or continue options. How do I make this ANNOYANCE STOP? Happened before update to iOS11.2 and worse after this update.",552134,ACCOUNT_ICLOUD,,,
I literally entered my password correctly to sign into iCloud online and I’ve been locked out of my account - why ??,1689343,ACCOUNT_ICLOUD,,,
my Apple ID won’t sign in to iCloud and iMessage ever since I updated to Mac High Sierra pls help :(,2867259,ACCOUNT_ICLOUD,,,
I am unable to get access to my Apple ID as I forgot the password and I tried to recover my account many times but it’s not working please help,2894754,ACCOUNT_ICLOUD,,,
I'm trying to get my iPhone 7 ready for recycling but I can't delete my iCloud account. I get a message saying 'Couldn't delete account. The account may be syncing data. Please try again.' I've also tried signing out on the Apple ID page but nothing happens.,2894779,ACCOUNT_ICLOUD,,,
I can not even sign into my Apple ID account! Get it together !!,1707721,ACCOUNT_ICLOUD,,,
I’m Having Trouble With The App Store When It Comes Down To Me Not Being Able To Download Anything Because It Keeps Saying My Credit Card Is Invalid .,2888494,PURCHASE_PAYMENT,,,
"Power adapter and it doesn’t charge at all but my old broken cord charges the phone just fine from the power adaptor , and it was past time for me to buy a new cord so i did only this one doesn’t charge",567642,PURCHASE_PAYMENT,,,
"picked up my charger and it literally burned my hand. you can see the smoke coming off of it. umm...explanation please? this is a new charger purchased from apple directly...if my phone was connected, it would’ve blew up for sure.",2555440,PURCHASE_PAYMENT,,,
"So, and the is warning me that I can’t get a refund when I press buy and something about 14 days... Does this mean I can get a refund Before buying the app? Idiotic system. Lack of refund is a major problem in the App Store.",2500897,PURCHASE_PAYMENT,,,
"It’s only showing verified purchases from the App Store, before I had my Apple Music subscription. 😓",2549107,PURCHASE_PAYMENT,,,
"After first receiving a message saying ""We are unable to process your request at this time. Try again later."", I now have a message saying ""This purchase is not eligible for a refund."" I am very unhappy that we've paid 33€ for a picture of a cartoon mammoth :(",2666282,PURCHASE_PAYMENT,,,
"hi, I had money removed from my account only for my payment method to be declined later and no purchase. Refund please.",1474845,PURCHASE_PAYMENT,,,
"PLEASE let users roll back to IOS10, my 5S battery now goes from 100% to 40% within a few hours (with minimal usage&no background traffic) & then switches itself off asking to be recharged at 40%! I've had to buy a portable power pack, sick of it as are many others!",2894775,PURCHASE_PAYMENT,,,
iTunes won’t use my available credit as payment anymore. Wants credit card for purchases.,878879,PURCHASE_PAYMENT,,,
"Any reason why my iTunes payment method (credit card) gets rejected for some subscriptions and in-app purchases, but works fine for others within the same app?",632094,PURCHASE_PAYMENT,,,
can I add company name to my billing address for my personal Apple ID? Sometimes I buy software that I use at my company (self-employed). Would love to get VAT invoices for those particular orders (like recent Pro purchase). 😀,2955452,PURCHASE_PAYMENT,,,
"My kids are old enough to have that freedom, but I wont let them purchase paid apps at will given how games entice kids to buy game currency",2303120,PURCHASE_PAYMENT,,,
"they said they refunded me but i’ve had this email, does this mean they’ve charged me again?!?",2700983,PURCHASE_PAYMENT,,,
I’ve been charged twice after amending my subscription email how do I get refunded?,2342893,PURCHASE_PAYMENT,,,
unrecognised charge on card... can someone tell me what it is... no purchases made,2618238,PURCHASE_PAYMENT,,,
I jst saw a transaction made on my credit card from an iTunes purchase of $10.81 and another of $1.07 I didn’t buy nothing.,655861,PURCHASE_PAYMENT,,,
YOU CHARGED MY ACCOUNT FOR $50 WORTH OF STUFF I NEVER PURCHASED . GIVE ME MY MONEY BACK !!!!!!!,2944486,PURCHASE_PAYMENT,,,
"Why did my perfectly good charger just up and stop working my nigga ? 🤔 tf ? Yo I swear I can never buy nothing from y'all mf's and the shit just work for a nice time, always on some 2 weeks or less shit, wassup ?",2902009,PURCHASE_PAYMENT,,,
Hi How do I get a refund? I purchase a recharge gem at but it never went through and the amount has been ...,1083277,PURCHASE_PAYMENT,,,
I’ve been charged almost £200 for a subscription renual for an app I did not authorise... I’ve had to call my bank and stop further payments! Can you contact me immediately!!! - Paige.,2299193,PURCHASE_PAYMENT,,,
I Found an iPad on the train how can I return it to its rightful owner?,46836,HOW_TO_OTHER,,,
"Hi, all my FB contacts are in contacts. How do I make them go away? Doesn't work through groups our FB settings!",1638986,HOW_TO_OTHER,,,
I’m having terrible trouble with my iPhone 7 since the update. Today it’s erased all my contacts how Can I fix this??,2947137,HOW_TO_OTHER,,,
In settings > calendar (where do I turn off?),1980705,HOW_TO_OTHER,,,
